,Constract,O_Time,O_price,C_Time,C_price,Proportion,Cost,Volume,Stop loss,Lock in gain,Fee,Profit,Cash
1624,ETHUSDT,1533499200000.0,406.49,1533675600000.0,384.89,-0.5_0.2116,112.71789931268057,0,386.1655,447.13900000000007,0.15361234916147604,-6.14319788669968,419.9417261968656
1625,BNBUSDT,1533506400000.0,13.6894,1533736800000.0,12.1752,0.75_0.3021,-126.88582512279073,0,14.37387,12.320459999999999,0.16781566604304451,13.86716880376056,293.0459835260078
1626,LTCUSDT,1533510000000.0,74.4,1533675600000.0,69.3,-1.0_0.3772,110.58359419802922,0,70.68,81.84000000000002,0.14951080296209351,-7.7298378246012005,182.4738008896259
1627,ETHUSDT,1533513600000.0,408.77,1533675600000.0,384.89,-0.25_0.1091,19.9124765080723,0,388.33149999999995,449.647,0.02706317800664839,-1.1903333275106884,162.62479416393657
1628,BTCUSDT,1533520800000.0,7122.18,1533679200000.0,6755.02,-1.0_0.3772,61.354623942707605,0,6766.071,7834.398000000001,0.08368242183775465,-3.246613396174891,101.24116071802472
1629,BTCUSDT,1533524400000.0,7132.64,1533679200000.0,6755.02,-1.0_0.3772,38.20890820767611,0,6776.008,7845.904000000001,0.052076458129330885,-2.074952688723147,63.04845451136313
1630,BNBUSDT,1533524400000.0,13.7379,1533690000000.0,12.8365,-0.75_0.3021,19.054656710197392,0,13.051005,15.111690000000001,0.025801341434690067,-1.276055569415089,44.007205777213976
1631,BTCUSDT,1533528000000.0,7088.32,1533686400000.0,6720.63,-1.0_0.3772,16.606523409404442,0,6733.9039999999995,7797.152,0.022646135615210207,-0.8840706469809382,27.402396061120086
1632,XRPUSDT,1533531600000.0,0.43151,1533596400000.0,0.4053,-1.0_0.3772,10.341798023097091,0,0.4099345,0.47466100000000006,0.014038803278245034,-0.6422015948366671,17.06498334579341
1633,BTCUSDT,1533535200000.0,7089.01,1533686400000.0,6720.63,-1.0_0.3772,6.44040800797393,0,6734.5595,7797.911000000001,0.008782298407008308,-0.3434577329144266,10.627306310830068
1634,ETHUSDT,1533538800000.0,410.18,1533715200000.0,368.13,1.0_0.3772,-4.010797273021285,0,430.689,369.16200000000003,0.00532729664512077,0.40584347065349213,6.6182097653232494
1635,BNBUSDT,1533538800000.0,13.7459,1533690000000.0,12.8365,-0.75_0.3021,2.000171393441252,0,13.058605,15.120490000000002,0.002707610941030337,-0.1350347677801952,4.619445809997704
1636,ADAUSDT,1533636000000.0,0.13019,1533690000000.0,0.12145,-0.75_0.3021,1000.0,0,0.1236805,0.143209,1.3530071434057915,-68.48565942084647,2322.1190260364415
1637,BNBUSDT,1533661200000.0,13.6038,1533690000000.0,12.8365,-1.0_0.3772,876.2715085788134,0,12.923609999999998,14.96418,1.192182853158197,-50.61683835621782,1445.9341274016228
1638,BNBUSDT,1533664800000.0,13.5491,1533690000000.0,12.8365,-1.0_0.3772,545.7025972085554,0,12.871645,14.90401,0.7438931969085947,-29.444520601741225,900.4629284310265
1639,BNBUSDT,1533668400000.0,13.6133,1533690000000.0,12.8365,-0.5_0.2116,190.60259709530305,0,12.932635,14.974630000000001,0.25923034097947906,-11.135365989472627,710.1089013358028
1640,VETUSDT,1533675600000.0,0.0132,1533700800000.0,0.01171,0.75_0.3021,-1000.0,0,0.01386,0.01188,1.3209848484848483,111.55780303030302,2575.0308151516797
1641,ADAUSDT,1534010400000.0,0.11548,1534190400000.0,0.10391,0.75_0.3021,-1000.0,0,0.121254,0.103932,1.3298666435746451,98.86064253550386,10070.02008090948
1642,VETUSDT,1534014000000.0,0.00954,1534032000000.0,0.00906,-1.0_0.3772,1000.0,0,0.009063,0.010494,1.3647798742138364,-51.6792452830189,9070.02008090948
1643,TRXUSDT,1534021200000.0,0.02338,1534032000000.0,0.02215,-0.75_0.3021,1000.0,0,0.022211,0.025718000000000005,1.3631736526946108,-53.97224123182205,8070.020080909481
1644,TRXUSDT,1534024800000.0,0.02323,1534140000000.0,0.02194,-0.75_0.3021,1000.0,0,0.0220685,0.025553000000000003,1.3611278519156262,-56.892767972449406,7070.020080909481
1645,BNBUSDT,1534024800000.0,11.6713,1534183200000.0,10.8684,-1.0_0.3772,1000.0,0,11.087735,12.83843,1.3518451243648948,-70.14452460308632,6070.020080909481
1646,EOSUSDT,1534028400000.0,5.1808,1534179600000.0,4.8891,-1.0_0.3772,1000.0,0,4.921759999999999,5.69888,1.3605871680049413,-57.66463287523152,5070.020080909481
1647,TRXUSDT,1534028400000.0,0.02333,1534032000000.0,0.02215,-0.25_0.1091,553.1083295416543,0,0.0221635,0.025663000000000002,0.7547688289450538,-28.730243705033864,4517.224575537148
1648,LTCUSDT,1534028400000.0,59.69,1534183200000.0,56.61,-0.75_0.3021,1000.0,0,56.705499999999994,65.659,1.36388004690903,-52.96381303400895,3516.9117513678275
